Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,109.12,126.05,4.833,-0.34189,3.300e-2,0.0564,0.0096,4017.778,1.805e-3,1.805e-3,1.805e-3,0_1:7.254e-3,0_1:526.222
Q1,113.98,111.35,4.624,-0.32823,9.500e-3,0.013,0.006,4017.778,1.975e-4,1.975e-4,1.975e-4,1_0:7.254e-3; 1_2:1.000e+0,1_0:561.778; 1_2:355.556
Q2,30.4,18.34,4.816,-0.34107,5.160e-2,0.0922,0.011,4017.778,8.030e-2,8.030e-2,8.030e-2,2_3:1.000e+0; 2_1:1.000e+0,2_3:376.889; 2_1:320
Q3,44.83,52.59,4.742,-0.34013,9.700e-3,0.0144,0.005,4017.778,5.848e-4,5.848e-4,5.848e-4,3_4:9.497e-3; 3_2:1.000e+0,3_4:376.889; 3_2:412.444
Q4,121.09,188.39,4.816,-0.34291,4.320e-2,0.0616,0.0248,4017.778,3.586e-4,3.586e-4,3.586e-4,4_3:9.497e-3,4_3:341.333
