Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,106.11,164.79,5,-0.33689,2.180e-2,0.0308,0.0128,5048.889,1.922e-4,1.922e-4,1.922e-4,0_1:7.824e-3,0_1:689.778
Q1,96.05,43.99,4.85,-0.32571,3.550e-2,0.0436,0.0274,5048.889,2.117e-4,2.117e-4,2.117e-4,1_2:6.511e-3; 1_0:7.824e-3,1_2:298.667; 1_0:654.222
Q2,86.47,151.53,4.783,-0.34287,1.480e-2,0.0204,0.0092,5048.889,1.770e-4,1.770e-4,1.770e-4,2_3:1.011e-2; 2_1:6.511e-3,2_3:341.333; 2_1:334.222
Q3,100.68,157.48,4.858,-0.32528,7.790e-2,0.148,0.0078,5048.889,1.312e-3,1.312e-3,1.312e-3,3_4:1.517e-2; 3_2:1.011e-2,3_4:369.778; 3_2:305.778
Q4,92.83,170.11,4.978,-0.33796,1.800e-2,0.0296,0.0064,5048.889,1.815e-4,1.815e-4,1.815e-4,4_3:1.517e-2,4_3:334.222
