Measurement outcome,Frequency
00000,550
00001,121
00010,138
00011,445
00100,470
00101,98
00110,129
00111,405
01000,114
01001,110
01010,101
01011,108
01100,653
01101,538
01110,541
01111,582
10000,124
10001,111
10010,114
10011,103
10100,640
10101,529
10110,573
10111,591
11000,513
11001,109
11010,143
11011,426
11100,379
11101,82
11110,80
11111,380
