Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,105.51,19.41,5.09,-0.33612,1.780e-2,0.0296,0.006,5351.111,2.051e-4,2.051e-4,2.051e-4,0_1:1.435e-2,0_1:810.667
Q1,87.09,102.17,5.246,-0.31657,2.320e-2,0.0382,0.0082,5351.111,2.607e-4,2.607e-4,2.607e-4,1_3:1.039e-2; 1_2:6.369e-3; 1_0:1.435e-2,1_3:433.778; 1_2:448; 1_0:775.111
Q2,115.49,66.64,5.361,-0.33063,2.400e-2,0.0396,0.0084,5351.111,2.947e-4,2.947e-4,2.947e-4,2_1:6.369e-3,2_1:412.444
Q3,70.17,85.04,5.17,-0.33374,5.810e-2,0.0984,0.0178,5351.111,4.096e-4,4.096e-4,4.096e-4,3_4:1.350e-2; 3_1:1.039e-2,3_4:590.222; 3_1:398.222
Q4,91.51,100.04,5.258,-0.33135,2.900e-2,0.042,0.016,5351.111,3.121e-4,3.121e-4,3.121e-4,4_3:1.350e-2,4_3:554.667
