Measurement outcome,Frequency
00000,1041
00001,172
00010,145
00011,752
00100,61
00101,117
00110,123
00111,23
01000,162
01001,92
01010,87
01011,145
01100,212
01101,668
01110,752
01111,59
10000,127
10001,80
10010,65
10011,70
10100,159
10101,619
10110,538
10111,55
11000,724
11001,160
11010,138
11011,670
11100,34
11101,44
11110,77
11111,21
