Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,103.1,147.98,5,-0.33689,3.100e-2,0.0432,0.0188,5048.889,4.838e-4,4.838e-4,4.838e-4,0_1:9.821e-3,0_1:689.778
Q1,105.68,39.51,4.85,-0.32571,3.920e-2,0.0542,0.0242,5048.889,2.098e-4,2.098e-4,2.098e-4,1_2:7.155e-3; 1_0:9.821e-3,1_2:298.667; 1_0:654.222
Q2,105.24,176.24,4.783,-0.34287,1.910e-2,0.0294,0.0088,5048.889,3.684e-4,3.684e-4,3.684e-4,2_3:1.111e-2; 2_1:7.155e-3,2_3:341.333; 2_1:334.222
Q3,110.8,168.99,4.858,-0.32528,1.920e-2,0.033,0.0054,5048.889,5.141e-4,5.141e-4,5.141e-4,3_4:9.969e-3; 3_2:1.111e-2,3_4:369.778; 3_2:305.778
Q4,101.36,180.34,4.978,-0.33796,2.550e-2,0.0404,0.0106,5048.889,1.667e-4,1.667e-4,1.667e-4,4_3:9.969e-3,4_3:334.222
